Type,Alias,Full Name,Offset,Mask/Size,Description
R,GPIO0_PDERC,PDERC,GPIO0 +0x088,0xFFFFFFFF,Pull-down Enable Register Clear
R,GPIO0_PDERT,PDERT,GPIO0 +0x08C,0xFFFFFFFF,Pull-down Enable Register Toggle
R,GPIO0_IER,IER,GPIO0 +0x090,0xFFFFFFFF,Interrupt Enable Register Read/Write
R,GPIO0_IERS,IERS,GPIO0 +0x094,0xFFFFFFFF,Interrupt Enable Register Set
R,GPIO0_IERC,IERC,GPIO0 +0x098,0xFFFFFFFF,Interrupt Enable Register Clear
R,GPIO0_IERT,IERT,GPIO0 +0x09C,0xFFFFFFFF,Interrupt Enable Register Toggle
R,GPIO0_IMR0,IMR0,GPIO0 +0x0A0,0xFFFFFFFF,Interrupt Mode Register 0 Read/Write
R,GPIO0_IMR0S,IMR0S,GPIO0 +0x0A4,0xFFFFFFFF,Interrupt Mode Register 0 Set
R,GPIO0_IMR0C,IMR0C,GPIO0 +0x0A8,0xFFFFFFFF,Interrupt Mode Register 0 Clear
R,GPIO0_IMR0T,IMR0T,GPIO0 +0x0AC,0xFFFFFFFF,Interrupt Mode Register 0 Toggle
R,GPIO0_IMR1,IMR1,GPIO0 +0x0B0,0xFFFFFFFF,Interrupt Mode Register 1 Read/Write
R,GPIO0_IMR1S,IMR1S,GPIO0 +0x0B4,0xFFFFFFFF,Interrupt Mode Register 1 Set
R,GPIO0_IMR1C,IMR1C,GPIO0 +0x0B8,0xFFFFFFFF,Interrupt Mode Register 1 Clear
R,GPIO0_IMR1T,IMR1T,GPIO0 +0x0BC,0xFFFFFFFF,Interrupt Mode Register 1 Toggle
R,GPIO0_GFER,GFER,GPIO0 +0x0C0,0xFFFFFFFF,Glitch Filter Enable Register Read/Write
R,GPIO0_GFERS,GFERS,GPIO0 +0x0C4,0xFFFFFFFF,Glitch Filter Enable Register Set
R,GPIO0_GFERC,GFERC,GPIO0 +0x0C8,0xFFFFFFFF,Glitch Filter Enable Register Clear
R,GPIO0_GFERT,GFERT,GPIO0 +0x0CC,0xFFFFFFFF,Glitch Filter Enable Register Toggle
R,GPIO0_IFR,IFR,GPIO0 +0x0D0,0xFFFFFFFF,Interrupt Flag Register Read
R,GPIO0_IFRC,IFRC,GPIO0 +0x0D8,0xFFFFFFFF,Interrupt Flag Register Clear
R,GPIO0_ODCR0,ODCR0,GPIO0 +0x100,0xFFFFFFFF,Output Driving Capability Register 0 Read/Write
R,GPIO0_ODCR0S,ODCR0S,GPIO0 +0x104,0xFFFFFFFF,Output Driving Capability Register 0 Set
R,GPIO0_ODCR0C,ODCR0C,GPIO0 +0x108,0xFFFFFFFF,Output Driving Capability Register 0 Clear
R,GPIO0_ODCR0T,ODCR0T,GPIO0 +0x10C,0xFFFFFFFF,Output Driving Capability Register 0 Toggle
R,GPIO0_ODCR1,ODCR1,GPIO0 +0x110,0xFFFFFFFF,Output Driving Capability Register 1 Read
R,GPIO0_ODCR1S,ODCR1S,GPIO0 +0x114,0xFFFFFFFF,Output Driving Capability Register 1 Set
R,GPIO0_ODCR1C,ODCR1C,GPIO0 +0x118,0xFFFFFFFF,Output Driving Capability Register 1 Clear
R,GPIO0_ODCR1T,ODCR1T,GPIO0 +0x11C,0xFFFFFFFF,Output Driving Capability Register 1 Toggle
R,GPIO0_OSRR0,OSRR0,GPIO0 +0x130,0xFFFFFFFF,Output Slew Rate Register 0 Read
R,GPIO0_OSRR0S,OSRR0S,GPIO0 +0x134,0xFFFFFFFF,Output Slew Rate Register 0 Set
R,GPIO0_OSRR0C,OSRR0C,GPIO0 +0x138,0xFFFFFFFF,Output Slew Rate Register 0 Clear
R,GPIO0_OSRR0T,OSRR0T,GPIO0 +0x13C,0xFFFFFFFF,Output Slew Rate Register 0 Toggle
R,GPIO0_STER,STER,GPIO0 +0x160,0xFFFFFFFF,Schmitt Trigger Enable Register Read
R,GPIO0_STERS,STERS,GPIO0 +0x164,0xFFFFFFFF,Schmitt Trigger Enable Register Set
R,GPIO0_STERC,STERC,GPIO0 +0x168,0xFFFFFFFF,Schmitt Trigger Enable Register Clear
R,GPIO0_STERT,STERT,GPIO0 +0x16C,0xFFFFFFFF,Schmitt Trigger Enable Register Toggle
R,GPIO0_EVER,EVER,GPIO0 +0x180,0xFFFFFFFF,Event Enable Register Read
R,GPIO0_EVERS,EVERS,GPIO0 +0x184,0xFFFFFFFF,Event Enable Register Set
R,GPIO0_EVERC,EVERC,GPIO0 +0x188,0xFFFFFFFF,Event Enable Register Clear
R,GPIO0_EVERT,EVERT,GPIO0 +0x18C,0xFFFFFFFF,Event Enable Register Toggle
R,GPIO0_PARAMETER,PARAMETER,GPIO0 +0x1F8,0xFFFFFFFF,Parameter Register Read
R,GPIO0_VERSION,VERSION,GPIO0 +0x1FC,0xFFFFFFFF,Version Register Read
R,GPIO1_GPER,GPER,GPIO1 + 0x000,0xFFFFFFFF,GPIO Enable Register Read/Write
R,GPIO1_GPERS,GPERS,GPIO1 + 0x004,0xFFFFFFFF,GPIO Enable Register Set
R,GPIO1_GPERC,GPERC,GPIO1 + 0x008,0xFFFFFFFF,GPIO Enable Register Clear
R,GPIO1_GPERT,GPERT,GPIO1 + 0x00C,0xFFFFFFFF,GPIO Enable Register Toggle
R,GPIO1_PMR0,PMR0,GPIO1 + 0x010,0xFFFFFFFF,Peripheral Mux Register 0 Read/Write
R,GPIO1_PMR0S,PMR0S,GPIO1 + 0x014,0xFFFFFFFF,Peripheral Mux Register 0 Set
R,GPIO1_PMR0C,PMR0C,GPIO1 + 0x018,0xFFFFFFFF,Peripheral Mux Register 0 Clear
R,GPIO1_PMR0T,PMR0T,GPIO1 + 0x01C,0xFFFFFFFF,Peripheral Mux Register 0 Toggle
R,GPIO1_PMR1,PMR1,GPIO1 + 0x020,0xFFFFFFFF,Peripheral Mux Register 1 Read/Write
R,GPIO1_PMR1S,PMR1S,GPIO1 + 0x024,0xFFFFFFFF,Peripheral Mux Register 1 Set
R,GPIO1_PMR1C,PMR1C,GPIO1 + 0x028,0xFFFFFFFF,Peripheral Mux Register 1 Clear
R,GPIO1_PMR1T,PMR1T,GPIO1 + 0x02C,0xFFFFFFFF,Peripheral Mux Register 1 Toggle
R,GPIO1_PMR2,PMR2,GPIO1 + 0x030,0xFFFFFFFF,Peripheral Mux Register 2 Read/Write
R,GPIO1_PMR2S,PMR2S,GPIO1 + 0x034,0xFFFFFFFF,Peripheral Mux Register 2 Set
R,GPIO1_PMR2C,PMR2C,GPIO1 + 0x038,0xFFFFFFFF,Peripheral Mux Register 2 Clear
R,GPIO1_PMR2T,PMR2T,GPIO1 + 0x03C,0xFFFFFFFF,Peripheral Mux Register 2 Toggle
R,GPIO1_ODER,ODER,GPIO1 + 0x040,0xFFFFFFFF,Output Driver Enable Register Read/Write
R,GPIO1_ODERS,ODERS,GPIO1 + 0x044,0xFFFFFFFF,Output Driver Enable Register Set
R,GPIO1_ODERC,ODERC,GPIO1 + 0x048,0xFFFFFFFF,Output Driver Enable Register Clear
R,GPIO1_ODERT,ODERT,GPIO1 + 0x04C,0xFFFFFFFF,Output Driver Enable Register Toggle
R,GPIO1_OVR,OVR,GPIO1 + 0x050,0xFFFFFFFF,Output Value Register Read/Write
R,GPIO1_OVRS,OVRS,GPIO1 + 0x054,0xFFFFFFFF,Output Value Register Set
R,GPIO1_OVRC,OVRC,GPIO1 + 0x058,0xFFFFFFFF,Output Value Register Clear
R,GPIO1_OVRT,OVRT,GPIO1 + 0x05c,0xFFFFFFFF,Output Value Register Toggle
R,GPIO1_PVR,PVR,GPIO1 + 0x060,0xFFFFFFFF,Pin Value Register Read
R,GPIO1_PUER,PUER,GPIO1 + 0x070,0xFFFFFFFF,Pull-up Enable Register Read/Write
R,GPIO1_PUERS,PUERS,GPIO1 + 0x074,0xFFFFFFFF,Pull-up Enable Register Set
R,GPIO1_PUERC,PUERC,GPIO1 + 0x078,0xFFFFFFFF,Pull-up Enable Register Clear
R,GPIO1_PUERT,PUERT,GPIO1 + 0x07C,0xFFFFFFFF,Pull-up Enable Register Toggle
R,GPIO1_PDER,PDER,GPIO1 + 0x080,0xFFFFFFFF,Pull-down Enable Register Read/Write
R,GPIO1_PDERS,PDERS,GPIO1 + 0x084,0xFFFFFFFF,Pull-down Enable Register Set
R,GPIO1_PDERC,PDERC,GPIO1 + 0x088,0xFFFFFFFF,Pull-down Enable Register Clear
R,GPIO1_PDERT,PDERT,GPIO1 + 0x08C,0xFFFFFFFF,Pull-down Enable Register Toggle
R,GPIO1_IER,IER,GPIO1 + 0x090,0xFFFFFFFF,Interrupt Enable Register Read/Write
R,GPIO1_IERS,IERS,GPIO1 + 0x094,0xFFFFFFFF,Interrupt Enable Register Set
R,GPIO1_IERC,IERC,GPIO1 + 0x098,0xFFFFFFFF,Interrupt Enable Register Clear
R,GPIO1_IERT,IERT,GPIO1 + 0x09C,0xFFFFFFFF,Interrupt Enable Register Toggle
R,GPIO1_IMR0,IMR0,GPIO1 + 0x0A0,0xFFFFFFFF,Interrupt Mode Register 0 Read/Write
R,GPIO1_IMR0S,IMR0S,GPIO1 + 0x0A4,0xFFFFFFFF,Interrupt Mode Register 0 Set
R,GPIO1_IMR0C,IMR0C,GPIO1 + 0x0A8,0xFFFFFFFF,Interrupt Mode Register 0 Clear
R,GPIO1_IMR0T,IMR0T,GPIO1 + 0x0AC,0xFFFFFFFF,Interrupt Mode Register 0 Toggle
R,GPIO1_IMR1,IMR1,GPIO1 + 0x0B0,0xFFFFFFFF,Interrupt Mode Register 1 Read/Write
R,GPIO1_IMR1S,IMR1S,GPIO1 + 0x0B4,0xFFFFFFFF,Interrupt Mode Register 1 Set
R,GPIO1_IMR1C,IMR1C,GPIO1 + 0x0B8,0xFFFFFFFF,Interrupt Mode Register 1 Clear
R,GPIO1_IMR1T,IMR1T,GPIO1 + 0x0BC,0xFFFFFFFF,Interrupt Mode Register 1 Toggle
R,GPIO1_GFER,GFER,GPIO1 + 0x0C0,0xFFFFFFFF,Glitch Filter Enable Register Read/Write
R,GPIO1_GFERS,GFERS,GPIO1 + 0x0C4,0xFFFFFFFF,Glitch Filter Enable Register Set
R,GPIO1_GFERC,GFERC,GPIO1 + 0x0C8,0xFFFFFFFF,Glitch Filter Enable Register Clear
R,GPIO1_GFERT,GFERT,GPIO1 + 0x0CC,0xFFFFFFFF,Glitch Filter Enable Register Toggle
R,GPIO1_IFR,IFR,GPIO1 + 0x0D0,0xFFFFFFFF,Interrupt Flag Register Read
R,GPIO1_IFRC,IFRC,GPIO1 + 0x0D8,0xFFFFFFFF,Interrupt Flag Register Clear
R,GPIO1_ODCR0,ODCR0,GPIO1 + 0x100,0xFFFFFFFF,Output Driving Capability Register 0 Read/Write
R,GPIO1_ODCR0S,ODCR0S,GPIO1 + 0x104,0xFFFFFFFF,Output Driving Capability Register 0 Set
R,GPIO1_ODCR0C,ODCR0C,GPIO1 + 0x108,0xFFFFFFFF,Output Driving Capability Register 0 Clear
R,GPIO1_ODCR0T,ODCR0T,GPIO1 + 0x10C,0xFFFFFFFF,Output Driving Capability Register 0 Toggle
R,GPIO1_ODCR1,ODCR1,GPIO1 + 0x110,0xFFFFFFFF,Output Driving Capability Register 1 Read
R,GPIO1_ODCR1S,ODCR1S,GPIO1 + 0x114,0xFFFFFFFF,Output Driving Capability Register 1 Set
R,GPIO1_ODCR1C,ODCR1C,GPIO1 + 0x118,0xFFFFFFFF,Output Driving Capability Register 1 Clear
R,GPIO1_ODCR1T,ODCR1T,GPIO1 + 0x11C,0xFFFFFFFF,Output Driving Capability Register 1 Toggle
R,GPIO1_OSRR0,OSRR0,GPIO1 + 0x130,0xFFFFFFFF,Output Slew Rate Register 0 Read
R,GPIO1_OSRR0S,OSRR0S,GPIO1 + 0x134,0xFFFFFFFF,Output Slew Rate Register 0 Set
R,GPIO1_OSRR0C,OSRR0C,GPIO1 + 0x138,0xFFFFFFFF,Output Slew Rate Register 0 Clear
R,GPIO1_OSRR0T,OSRR0T,GPIO1 + 0x13C,0xFFFFFFFF,Output Slew Rate Register 0 Toggle
R,GPIO1_STER,STER,GPIO1 + 0x160,0xFFFFFFFF,Schmitt Trigger Enable Register Read
R,GPIO1_STERS,STERS,GPIO1 + 0x164,0xFFFFFFFF,Schmitt Trigger Enable Register Set
R,GPIO1_STERC,STERC,GPIO1 + 0x168,0xFFFFFFFF,Schmitt Trigger Enable Register Clear
R,GPIO1_STERT,STERT,GPIO1 + 0x16C,0xFFFFFFFF,Schmitt Trigger Enable Register Toggle
R,GPIO1_EVER,EVER,GPIO1 + 0x180,0xFFFFFFFF,Event Enable Register Read
R,GPIO1_EVERS,EVERS,GPIO1 + 0x184,0xFFFFFFFF,Event Enable Register Set
R,GPIO1_EVERC,EVERC,GPIO1 + 0x188,0xFFFFFFFF,Event Enable Register Clear
R,GPIO1_EVERT,EVERT,GPIO1 + 0x18C,0xFFFFFFFF,Event Enable Register Toggle
R,GPIO1_PARAMETER,PARAMETER,GPIO1 + 0x1F8,0xFFFFFFFF,Parameter Register Read
R,GPIO1_VERSION,VERSION,GPIO1 + 0x1FC,0xFFFFFFFF,Version Register Read
R,GPIO2_GPER,GPER,GPIO2 + 0x000,0xFFFFFFFF,GPIO Enable Register Read/Write
R,GPIO2_GPERS,GPERS,GPIO2 + 0x004,0xFFFFFFFF,GPIO Enable Register Set
R,GPIO2_GPERC,GPERC,GPIO2 + 0x008,0xFFFFFFFF,GPIO Enable Register Clear
R,GPIO2_GPERT,GPERT,GPIO2 + 0x00C,0xFFFFFFFF,GPIO Enable Register Toggle
R,GPIO2_PMR0,PMR0,GPIO2 + 0x010,0xFFFFFFFF,Peripheral Mux Register 0 Read/Write
R,GPIO2_PMR0S,PMR0S,GPIO2 + 0x014,0xFFFFFFFF,Peripheral Mux Register 0 Set
R,GPIO2_PMR0C,PMR0C,GPIO2 + 0x018,0xFFFFFFFF,Peripheral Mux Register 0 Clear
R,GPIO2_PMR0T,PMR0T,GPIO2 + 0x01C,0xFFFFFFFF,Peripheral Mux Register 0 Toggle
R,GPIO2_PMR1,PMR1,GPIO2 + 0x020,0xFFFFFFFF,Peripheral Mux Register 1 Read/Write
R,GPIO2_PMR1S,PMR1S,GPIO2 + 0x024,0xFFFFFFFF,Peripheral Mux Register 1 Set
R,GPIO2_PMR1C,PMR1C,GPIO2 + 0x028,0xFFFFFFFF,Peripheral Mux Register 1 Clear
R,GPIO2_PMR1T,PMR1T,GPIO2 + 0x02C,0xFFFFFFFF,Peripheral Mux Register 1 Toggle
R,GPIO2_PMR2,PMR2,GPIO2 + 0x030,0xFFFFFFFF,Peripheral Mux Register 2 Read/Write
R,GPIO2_PMR2S,PMR2S,GPIO2 + 0x034,0xFFFFFFFF,Peripheral Mux Register 2 Set
R,GPIO2_PMR2C,PMR2C,GPIO2 + 0x038,0xFFFFFFFF,Peripheral Mux Register 2 Clear
R,GPIO2_PMR2T,PMR2T,GPIO2 + 0x03C,0xFFFFFFFF,Peripheral Mux Register 2 Toggle
R,GPIO2_ODER,ODER,GPIO2 + 0x040,0xFFFFFFFF,Output Driver Enable Register Read/Write
R,GPIO2_ODERS,ODERS,GPIO2 + 0x044,0xFFFFFFFF,Output Driver Enable Register Set
R,GPIO2_ODERC,ODERC,GPIO2 + 0x048,0xFFFFFFFF,Output Driver Enable Register Clear
R,GPIO2_ODERT,ODERT,GPIO2 + 0x04C,0xFFFFFFFF,Output Driver Enable Register Toggle
R,GPIO2_OVR,OVR,GPIO2 + 0x050,0xFFFFFFFF,Output Value Register Read/Write
R,GPIO2_OVRS,OVRS,GPIO2 + 0x054,0xFFFFFFFF,Output Value Register Set
R,GPIO2_OVRC,OVRC,GPIO2 + 0x058,0xFFFFFFFF,Output Value Register Clear
R,GPIO2_OVRT,OVRT,GPIO2 + 0x05c,0xFFFFFFFF,Output Value Register Toggle
R,GPIO2_PVR,PVR,GPIO2 + 0x060,0xFFFFFFFF,Pin Value Register Read
R,GPIO2_PUER,PUER,GPIO2 + 0x070,0xFFFFFFFF,Pull-up Enable Register Read/Write
R,GPIO2_PUERS,PUERS,GPIO2 + 0x074,0xFFFFFFFF,Pull-up Enable Register Set
R,GPIO2_PUERC,PUERC,GPIO2 + 0x078,0xFFFFFFFF,Pull-up Enable Register Clear
R,GPIO2_PUERT,PUERT,GPIO2 + 0x07C,0xFFFFFFFF,Pull-up Enable Register Toggle
R,GPIO2_PDER,PDER,GPIO2 + 0x080,0xFFFFFFFF,Pull-down Enable Register Read/Write
R,GPIO2_PDERS,PDERS,GPIO2 + 0x084,0xFFFFFFFF,Pull-down Enable Register Set
R,GPIO2_PDERC,PDERC,GPIO2 + 0x088,0xFFFFFFFF,Pull-down Enable Register Clear
R,GPIO2_PDERT,PDERT,GPIO2 + 0x08C,0xFFFFFFFF,Pull-down Enable Register Toggle
R,GPIO2_IER,IER,GPIO2 + 0x090,0xFFFFFFFF,Interrupt Enable Register Read/Write
R,GPIO2_IERS,IERS,GPIO2 + 0x094,0xFFFFFFFF,Interrupt Enable Register Set
R,GPIO2_IERC,IERC,GPIO2 + 0x098,0xFFFFFFFF,Interrupt Enable Register Clear
R,GPIO2_IERT,IERT,GPIO2 + 0x09C,0xFFFFFFFF,Interrupt Enable Register Toggle
R,GPIO2_IMR0,IMR0,GPIO2 + 0x0A0,0xFFFFFFFF,Interrupt Mode Register 0 Read/Write
R,GPIO2_IMR0S,IMR0S,GPIO2 + 0x0A4,0xFFFFFFFF,Interrupt Mode Register 0 Set
R,GPIO2_IMR0C,IMR0C,GPIO2 + 0x0A8,0xFFFFFFFF,Interrupt Mode Register 0 Clear
R,GPIO2_IMR0T,IMR0T,GPIO2 + 0x0AC,0xFFFFFFFF,Interrupt Mode Register 0 Toggle
R,GPIO2_IMR1,IMR1,GPIO2 + 0x0B0,0xFFFFFFFF,Interrupt Mode Register 1 Read/Write
R,GPIO2_IMR1S,IMR1S,GPIO2 + 0x0B4,0xFFFFFFFF,Interrupt Mode Register 1 Set
R,GPIO2_IMR1C,IMR1C,GPIO2 + 0x0B8,0xFFFFFFFF,Interrupt Mode Register 1 Clear
R,GPIO2_IMR1T,IMR1T,GPIO2 + 0x0BC,0xFFFFFFFF,Interrupt Mode Register 1 Toggle
R,GPIO2_GFER,GFER,GPIO2 + 0x0C0,0xFFFFFFFF,Glitch Filter Enable Register Read/Write
R,GPIO2_GFERS,GFERS,GPIO2 + 0x0C4,0xFFFFFFFF,Glitch Filter Enable Register Set
R,GPIO2_GFERC,GFERC,GPIO2 + 0x0C8,0xFFFFFFFF,Glitch Filter Enable Register Clear
R,GPIO2_GFERT,GFERT,GPIO2 + 0x0CC,0xFFFFFFFF,Glitch Filter Enable Register Toggle
R,GPIO2_IFR,IFR,GPIO2 + 0x0D0,0xFFFFFFFF,Interrupt Flag Register Read
R,GPIO2_IFRC,IFRC,GPIO2 + 0x0D8,0xFFFFFFFF,Interrupt Flag Register Clear
R,GPIO2_ODCR0,ODCR0,GPIO2 + 0x100,0xFFFFFFFF,Output Driving Capability Register 0 Read/Write
R,GPIO2_ODCR0S,ODCR0S,GPIO2 + 0x104,0xFFFFFFFF,Output Driving Capability Register 0 Set
R,GPIO2_ODCR0C,ODCR0C,GPIO2 + 0x108,0xFFFFFFFF,Output Driving Capability Register 0 Clear
R,GPIO2_ODCR0T,ODCR0T,GPIO2 + 0x10C,0xFFFFFFFF,Output Driving Capability Register 0 Toggle
R,GPIO2_ODCR1,ODCR1,GPIO2 + 0x110,0xFFFFFFFF,Output Driving Capability Register 1 Read
R,GPIO2_ODCR1S,ODCR1S,GPIO2 + 0x114,0xFFFFFFFF,Output Driving Capability Register 1 Set
R,GPIO2_ODCR1C,ODCR1C,GPIO2 + 0x118,0xFFFFFFFF,Output Driving Capability Register 1 Clear
R,GPIO2_ODCR1T,ODCR1T,GPIO2 + 0x11C,0xFFFFFFFF,Output Driving Capability Register 1 Toggle
R,GPIO2_OSRR0,OSRR0,GPIO2 + 0x130,0xFFFFFFFF,Output Slew Rate Register 0 Read
R,GPIO2_OSRR0S,OSRR0S,GPIO2 + 0x134,0xFFFFFFFF,Output Slew Rate Register 0 Set
R,GPIO2_OSRR0C,OSRR0C,GPIO2 + 0x138,0xFFFFFFFF,Output Slew Rate Register 0 Clear
R,GPIO2_OSRR0T,OSRR0T,GPIO2 + 0x13C,0xFFFFFFFF,Output Slew Rate Register 0 Toggle
R,GPIO2_STER,STER,GPIO2 + 0x160,0xFFFFFFFF,Schmitt Trigger Enable Register Read
R,GPIO2_STERS,STERS,GPIO2 + 0x164,0xFFFFFFFF,Schmitt Trigger Enable Register Set
R,GPIO2_STERC,STERC,GPIO2 + 0x168,0xFFFFFFFF,Schmitt Trigger Enable Register Clear
R,GPIO2_STERT,STERT,GPIO2 + 0x16C,0xFFFFFFFF,Schmitt Trigger Enable Register Toggle
R,GPIO2_EVER,EVER,GPIO2 + 0x180,0xFFFFFFFF,Event Enable Register Read
R,GPIO2_EVERS,EVERS,GPIO2 + 0x184,0xFFFFFFFF,Event Enable Register Set
R,GPIO2_EVERC,EVERC,GPIO2 + 0x188,0xFFFFFFFF,Event Enable Register Clear
R,GPIO2_EVERT,EVERT,GPIO2 + 0x18C,0xFFFFFFFF,Event Enable Register Toggle
R,GPIO2_PARAMETER,PARAMETER,GPIO2 + 0x1F8,0xFFFFFFFF,Parameter Register Read
R,GPIO2_VERSION,VERSION,GPIO2 + 0x1FC,0xFFFFFFFF,Version Register Read
R,USART0,USART0_BASE,0x40024000,0xFFFFFFFF,UART 0 Base Address
R,USART0_CR,USART0_CR,USART0 + 0x00,0xFFFFFFFF,Control Register
F,USARTx_CR_RSTRX,USARTx_CR_RSTRX,2,0x000000001,Reset Receiver: Writing a zero to this bit has no effect.Writing a one to this bit will reset the receiver.
F,USARTx_CR_RSTTX,USARTx_CR_RSTTX,3,0x000000001,Reset Transmitter: Writing a zero to this bit has no effect. Writing a one to this bit will reset the transmitter.
R,USART0_MR,USART0_MR,USART0 + 0x04,0xFFFFFFFF,Mode Register
F,USARTx_MR_MODE, USARTx_MR_MODE,0,0x00000004, Mode of the USART: 0 - Normal * 1 - RS485, 2 - H/W Handshaking
R,USART0_IER,USART0_IER,USART0 + 0x08,0xFFFFFFFF,Interrupt Enable Register
R,USART0_IDR,USART0_IDR,USART0 + 0x0C,0xFFFFFFFF,Interrupt Disable Register
R,USART0_IMR,USART0_IMR,USART0 + 0x010,0xFFFFFFFF,Interrupt Mask Register
R,USART0_CSR,USART0_CSR,USART0 + 0x14,0xFFFFFFFF,Channel Status Register
R,USART0_RHR,USART0_RHR,USART0 + 0x18,0xFFFFFFFF,Receiver Holding Register
R,USART0_THR,USART0_THR,USART0 + 0x1C,0xFFFFFFFF,Transmitter Holding Register
R,USART0_BRGR,USART0_BRGR,USART0 + 0x20,0xFFFFFFFF,Baud Rate Generator Register
R,USART0_RTOR,USART0_RTOR,USART0 + 0x24,0xFFFFFFFF,Receiver Time-out Register
R,USART0_TTGR,USART0_TTGR,USART0 + 0x28,0xFFFFFFFF,Transmitter Timeguard Register
R,USART0_FIDI,USART0_FIDI,USART0 + 0x40,0xFFFFFFFF,FI DI Ratio Register
R,USART0_NER,USART0_NER,USART0 + 0x44,0xFFFFFFFF,Number of Errors Register
R,USART0_IFR,USART0_IFR,USART0 + 0x4C,0xFFFFFFFF,IrDA Filter Register
R,USART0_MAN,USART0_MAN,USART0 + 0x50,0xFFFFFFFF,Manchester Configuration Register
R,USART0_LINMR,USART0_LINMR,USART0 + 0x54,0xFFFFFFFF,LIN Mode Register
R,USART0_LINIR,USART0_LINIR,USART0 + 0x58,0xFFFFFFFF,LIN Identifier Register
R,USART0_LINBR,USART0_LINBR,USART0 + 0x5C,0xFFFFFFFF,LIN Baud Rate Register
